2015-05-14T03:31:06.294+0200 I CONTROL  Hotfix KB2731284 or later update is not installed, will zero-out data files
2015-05-14T03:31:06.356+0200 I CONTROL  Trying to start Windows service 'MongoDB'
2015-05-14T03:31:06.356+0200 I STORAGE  Service running
2015-05-14T03:31:06.396+0200 I JOURNAL  [initandlisten] journal dir=C:\dev\workspace-webstorm\jambons-vs-zombies\data\db\journal
2015-05-14T03:31:06.396+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:31:06.428+0200 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-05-14T03:31:06.822+0200 I JOURNAL  [durability] Durability thread started
2015-05-14T03:31:06.824+0200 I CONTROL  [initandlisten] MongoDB starting : pid=1976 port=27017 dbpath=C:\dev\workspace-webstorm\jambons-vs-zombies\data\db 64-bit host=izyl-PC
2015-05-14T03:31:06.824+0200 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-05-14T03:31:06.825+0200 I CONTROL  [initandlisten] db version v3.0.2
2015-05-14T03:31:06.825+0200 I CONTROL  [initandlisten] git version: 6201872043ecbbc0a4cc169b5482dcf385fc464f
2015-05-14T03:31:06.825+0200 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1m-fips 19 Mar 2015
2015-05-14T03:31:06.825+0200 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-05-14T03:31:06.825+0200 I CONTROL  [initandlisten] allocator: system
2015-05-14T03:31:06.825+0200 I CONTROL  [initandlisten] options: { config: "C:\dev\workspace-webstorm\jambons-vs-zombies\config\mongo.config", diaglog: 3, service: true, storage: { dbPath: "C:\dev\workspace-webstorm\jambons-vs-zombies\data\db" }, systemLog: { destination: "file", path: "C:\dev\workspace-webstorm\jambons-vs-zombies\data\log\logs.txt" } }
2015-05-14T03:31:06.845+0200 I INDEX    [initandlisten] allocating new ns file C:\dev\workspace-webstorm\jambons-vs-zombies\data\db\local.ns, filling with zeroes...
2015-05-14T03:31:06.895+0200 I JOURNAL  [journal writer] Journal writer thread started
2015-05-14T03:31:07.358+0200 I STORAGE  [FileAllocator] allocating new datafile C:\dev\workspace-webstorm\jambons-vs-zombies\data\db\local.0, filling with zeroes...
2015-05-14T03:31:07.358+0200 I STORAGE  [FileAllocator] creating directory C:\dev\workspace-webstorm\jambons-vs-zombies\data\db\_tmp
2015-05-14T03:31:07.491+0200 I STORAGE  [FileAllocator] done allocating datafile C:\dev\workspace-webstorm\jambons-vs-zombies\data\db\local.0, size: 64MB,  took 0.132 secs
2015-05-14T03:31:07.499+0200 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-05-14T03:32:06.410+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:33:06.399+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:34:06.402+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:35:06.408+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:36:06.404+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:37:06.407+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:38:06.404+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:39:06.405+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:40:06.405+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:41:06.407+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:42:06.409+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:43:06.409+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:44:06.410+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:45:06.410+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:46:06.410+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:47:06.410+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:48:06.424+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:49:06.412+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:50:06.411+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:51:06.413+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:52:06.413+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:53:06.414+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:54:06.413+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:55:06.416+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:56:06.415+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:57:06.416+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:58:06.416+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T03:59:06.416+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:00:06.419+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:01:06.419+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:02:06.419+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:03:06.419+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:04:06.420+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:05:06.421+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:06:06.421+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:07:06.421+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:08:06.421+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:09:06.423+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:10:06.422+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:11:06.423+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:12:06.423+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:13:06.423+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:14:06.424+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:15:06.424+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:16:06.425+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:17:06.425+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:18:06.427+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:19:06.427+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:20:06.426+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T04:21:06.427+0200 I COMMAND  [DataFileSync] flushing diag log
